"Provider Number","State","County","PoNP","Chain","Org","CnC","Operations","info","Neph","Staff","Facility","Profit or Non-Profit","Chain Owned","Chain Organization","Late Shift","# of Dialysis Stations","Offers in-center hemodialysis","Offers peritoneal dialysis","Offers home hemodialysis training","Certification or Recertification Date","Claims Date","CROWNWeb Date","STrR Date","Percentage of Medicare patients with Hgb<10 g/dL","HGB<10 data availability code","Percentage of Medicare patients with Hgb>12 g/dL","Hgb > 12 data availability code","Number of Dialysis Patients with Hgb data","Patient Transfusion data availability Code","Patient Transfusion category text","Number of patients included in the transfusion summary","Percent of Adult HD patients with Kt/V >= 1.2","Adult HD Kt/V data availability code","Percentage of Adult PD PTS with Kt/V >= 1.7","Adult PD Kt/V data availability code","Percentage of Pediatric HD patients with Kt/V >= 1.2","Pediatric HD Kt/V Data Availability Code","Number of adult HD patients with KT/V data","Number of adult HD patient-months with Kt/V data","Number of adult PD patients with KT/V data","Number of adult PD patient-months with Kt/V data","Number of pediatric HD patients with Kt/V data","Number of pediatric HD patient-months with KT/V data","Hypercalcemia Data Availability Code","Number of patients in hypercalcemia summary","Number of patient-months in hypercalcemia summary","Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL)","Number of patients in Serum phosphorus summary","Number of patient-months in Serum phosphorus summary","Serum phosphorus Data Availability Code","Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL","Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL","Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL","Percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL","Percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL","SHR Date","SRR Date","SMR Date","Patient hospitalization category text","Patient Hospitalization data availability Code","Patient Hospital Readmission Category","Patient Hospital Readmission data availability Code","Patient Survival Category Text","Patient Survival data availability code","Number of patients included in hospitalization summary","Number of hospitalizations included in hospital readmission summary","Number of Patients included in survival summary","Mortality Rate (Facility)","Mortality Rate: Upper Confidence Limit (97.5%)","Mortality Rate: Lower Confidence Limit (2.5%)","Readmission Rate (Facility)","Readmission Rate: Upper Confidence Limit (97.5%)","Readmission Rate: Lower Confidence Limit (2.5%)","Hospitalization Rate (Facility)","Hospitalization Rate: Upper Confidence Limit (97.5%)","Hospitalization Rate: Lower Confidence Limit (2.5%)","Number of pediatric PD patients with Kt/V data","Pediatric PD Kt/V Data Availability Code","Number of pediatric PD patient-months with KT/V data","Percentage of pediatric PD patients with Kt/V>=1.8","SIR Date","Patient Infection Data Availability Code","Patient Infection category text","Standard Infection Ratio","SIR: Upper Confidence Limit (97.5%)","SIR: Lower Confidence Limit (2.5%)","Transfusion Rate (Facility)","Transfusion Rate: Upper Confidence Limit (97.5%)","Transfusion Rate: Lower Confidence Limit (2.5%)","Fistula data availability code","Fistula Category Text","Number of Patients included in fistula summary","Fistula Rate (Facility)","Fistula Rate: Upper Confidence Limit (97.5%)","Fistula Rate: Lower Confidence Limit (2.5%)","Number of patients in long term catheter summary","Number of patient months in long term catheter summary","Long term catheter Data Availability Code","Percentage of Adult patients with long term catheter in use","Number of patients in nPCR summary","Number of patient-months in nPCR summary","nPCR Data Availability Code","Percentage of pediatric HD patients with nPCR","SWR Date","SWR category text","Patient transplant waitlist data availability code","95% C.I. (upper limit) for SWR","95% C.I. (lower limit) for SWR","Number of patients in this facility for SWR","Standardized First Kidney Transplant Waitlist Ratio","PPPW category text","Patient prevalent transplant waitlist data availability code","95% C.I. (upper limit) for PPPW","95% C.I. (lower limit) for PPPW","Number of patients for PPPW","Percentage of Prevalent Patients Waitlisted"
"012519","AL","JACKSON","Profit","Yes","FRESENIUS MEDICAL CARE",76,71,71,82,80,81,"Profit","Yes","FRESENIUS MEDICAL CARE",0,21,1,0,0,"11/05/1984","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",24,1,0,1,42,1,"As Expected",58,98,1,NA,257,NA,199,82,705,0,NA,1,4,1,87,780,0,90,822,1,5,14,21,30,30,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"As Expected",1,68,65,269,23,31.2,16.5,15.4,29.6,6.2,129.2,226.2,74.8,0,259,NA,NA,"01/01/2019-12/31/2019",1,"As Expected",1.01,2.11,0.41,18.5,73.4,5.8,1,"As Expected",89,61.1,78.8,42.1,89,809,1,11,1,5,199,NA,"01/01/2016-12/31/2018","As Expected",1,3.47,0.25,47,1.19,"As Expected",1,32.1,2.5,73,10
"012521","AL","HOUSTON","Non-Profit","Yes","DIALYSIS CLINIC, INC.",88,88,91,87,89,92,"Non-Profit","Yes","DIALYSIS CLINIC, INC.",0,33,1,1,0,"03/11/1985","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",8,1,0,1,80,1,"As Expected",113,98,1,84,1,NA,259,115,1049,40,318,0,NA,1,153,1406,0,167,1502,1,6,25,38,19,12,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"As Expected",1,133,163,517,21.4,26.9,16.9,29.5,39.3,20.9,182.4,270.2,130.6,0,259,NA,NA,"01/01/2019-12/31/2019",1,"As Expected",0.32,1.06,0.05,26.1,61.6,12.7,1,"As Expected",126,52.9,69.5,35.2,126,1146,1,4,0,NA,259,NA,"01/01/2016-12/31/2018","As Expected",1,2.22,0.37,60,1.02,"As Expected",1,30.4,7.2,134,15.5
"012523","AL","RUSSELL","Profit","Yes","DAVITA",79,79,82,84,83,86,"Profit","Yes","DAVITA",0,20,1,1,0,"09/23/1985","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",30,1,0,1,44,1,"As Expected",60,98,1,98,1,NA,259,81,680,12,95,0,NA,1,91,830,0,95,860,1,6,16,26,24,29,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"Worse than Expected",1,73,71,336,30.7,39.8,23.2,20.1,34.1,10.2,183.7,301.1,113.5,0,259,NA,NA,"01/01/2019-12/31/2019",1,"As Expected",0.7,1.91,0.18,13.4,68.3,3.4,1,"As Expected",87,67,85.3,47.5,87,760,1,7,0,NA,259,NA,"01/01/2016-12/31/2018","As Expected",1,2.2,0.01,28,0.39,"As Expected",1,39.2,6.5,83,17.5
"012524","AL","MOBILE","Profit","Yes","FRESENIUS MEDICAL CARE",77,75,81,80,82,83,"Profit","Yes","FRESENIUS MEDICAL CARE",1,29,1,1,1,"12/01/1985","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",32,1,0,1,63,1,"As Expected",127,98,1,96,1,NA,259,95,858,86,604,0,NA,1,199,1708,2,212,1773,1,9,24,27,24,17,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"As Expected",1,143,151,558,28.8,36.5,22.3,31.4,45,20.3,238.5,352.5,171.1,0,259,NA,NA,"01/01/2019-12/31/2019",1,"As Expected",0.2,1,0.01,14.9,50.2,5.4,1,"As Expected",133,54.4,70.7,37,133,1131,1,6,0,NA,259,NA,"01/01/2016-12/31/2018","As Expected",1,2.17,0.67,95,1.27,"As Expected",1,35.2,13.4,211,22.5
"012532","AL","BARBOUR","Non-Profit","Yes","DIALYSIS CLINIC, INC.",88,85,91,91,92,93,"Non-Profit","Yes","DIALYSIS CLINIC, INC.",0,14,1,0,0,"11/25/1987","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",0,1,0,1,32,1,"As Expected",39,98,1,NA,257,NA,259,56,519,0,NA,0,NA,1,56,541,0,60,564,1,7,31,38,15,8,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"As Expected",1,48,31,185,27.9,39.6,18.9,10.7,30.8,1.8,99.1,209,50.3,0,259,NA,NA,"01/01/2019-12/31/2019",1,"As Expected",0.43,2.11,0.02,8.1,107.2,0.9,1,"As Expected",60,59,83.9,32.4,60,564,1,2,0,NA,259,NA,"01/01/2016-12/31/2018","Not Available",199,NA,NA,22,NA,"As Expected",1,47.1,0.7,35,7.6
"012579","AL","MOBILE","Profit","Yes","FRESENIUS MEDICAL CARE",78,80,86,80,87,88,"Profit","Yes","FRESENIUS MEDICAL CARE",0,20,1,0,0,"07/08/1998","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",36,1,0,1,36,1,"As Expected",59,97,1,NA,257,NA,259,83,764,0,NA,0,NA,1,91,854,0,93,878,1,12,25,25,25,13,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"Worse than Expected",1,"As Expected",1,67,84,282,18.9,26.7,12.9,47.6,62.5,33.9,252.4,382.8,168.2,0,259,NA,NA,"01/01/2019-12/31/2019",1,"As Expected",0.26,1.3,0.01,8.3,68.3,1.4,1,"As Expected",93,59.6,79.3,38.5,93,886,1,3,0,NA,259,NA,"01/01/2016-12/31/2018","As Expected",1,2.44,0.01,37,0.44,"As Expected",1,29.2,2,83,8.4
"012585","AL","JEFFERSON","Profit","Yes","DAVITA",71,82,77,75,85,90,"Profit","Yes","DAVITA",0,24,1,0,0,"08/01/1998","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",20,1,0,1,49,1,"As Expected",72,100,1,NA,257,NA,259,95,830,0,NA,0,NA,1,100,922,1,107,965,1,6,18,30,21,24,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"As Expected",1,81,59,323,24.3,33.5,17.1,21.7,39,9.8,173.6,292.1,104.5,0,259,NA,NA,"01/01/2019-12/31/2019",1,"As Expected",1.05,2.07,0.46,7.6,62.2,1.3,1,"Worse than Expected",107,35.6,53.1,16.9,107,968,1,10,0,NA,259,NA,"01/01/2016-12/31/2018","As Expected",1,1.18,0.01,44,0.21,"As Expected",1,28.6,3.6,90,10.9
"012596","AL","MONTGOMERY","Profit","Yes","FRESENIUS MEDICAL CARE",77,75,77,83,81,85,"Profit","Yes","FRESENIUS MEDICAL CARE",0,33,1,0,0,"08/11/1999","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",33,1,0,1,63,1,"As Expected",99,95,1,NA,257,NA,259,129,1252,0,NA,0,NA,1,133,1313,0,142,1357,1,10,25,29,19,17,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"Better than Expected",1,"As Expected",1,110,142,443,21.1,27.8,15.6,17,25.9,10.5,248.2,362.1,180.1,0,259,NA,NA,"01/01/2019-12/31/2019",1,"Better than Expected",0.1,0.5,0.01,9.9,44.1,2.9,1,"As Expected",141,48,63.7,31.2,141,1347,1,15,0,NA,259,NA,"01/01/2016-12/31/2018","As Expected",1,1.38,0.05,50,0.38,"As Expected",1,20.2,3.2,125,8.4
"012537","AL","MOBILE","Profit","Yes","FRESENIUS MEDICAL CARE",88,79,79,89,86,82,"Profit","Yes","FRESENIUS MEDICAL CARE",0,25,1,0,0,"04/23/1990","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",29,1,0,1,24,1,"As Expected",66,98,1,NA,257,NA,199,100,888,0,NA,1,1,1,108,986,0,110,1031,1,6,25,32,25,11,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"As Expected",1,75,79,327,26.3,34.9,19.3,26.7,40.6,15,224.4,359.4,141.7,0,259,NA,NA,"01/01/2019-12/31/2019",1,"As Expected",0.72,1.73,0.23,8.9,73.5,1.5,1,"As Expected",112,53.6,70.9,35.2,112,1043,1,4,1,1,199,NA,"01/01/2016-12/31/2018","As Expected",1,1.6,0.05,60,0.44,"As Expected",1,32.1,3.5,92,11.6
"012543","AL","MARENGO","Profit","Yes","DAVITA",90,82,84,90,88,90,"Profit","Yes","DAVITA",0,15,1,1,0,"05/20/1992","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",2,1,0,1,44,1,"As Expected",52,100,1,NA,199,NA,259,63,566,4,34,0,NA,1,67,630,0,73,656,1,5,13,35,26,21,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"Worse than Expected",1,57,53,262,32.7,43.7,23.8,21.7,38.4,9.7,161.7,289.9,91.5,0,259,NA,NA,"01/01/2019-12/31/2019",1,"Better than Expected",0,0.71,NA,5.7,75.9,0.7,1,"Worse than Expected",68,35.7,58.1,11.8,68,614,1,9,0,NA,259,NA,"01/01/2016-12/31/2018","As Expected",1,2.29,0.01,27,0.41,"As Expected",1,43.2,8.1,63,20.5
"012589","AL","JEFFERSON","Profit","Yes","DAVITA",85,80,83,87,85,87,"Profit","Yes","DAVITA",0,24,1,0,0,"08/01/1998","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",20,1,0,1,40,1,"As Expected",61,99,1,NA,257,NA,259,87,812,0,NA,0,NA,1,96,940,1,96,977,1,11,23,32,17,16,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"As Expected",1,65,58,290,22.6,32.3,15.3,24.4,39.3,13.1,157,269.1,92.8,0,259,NA,NA,"01/01/2019-12/31/2019",1,"As Expected",0.51,1.38,0.13,31.1,93.5,12.4,1,"Worse than Expected",97,39.3,57.6,19.6,97,982,1,11,0,NA,259,NA,"01/01/2016-12/31/2018","Worse than Expected",1,0.9,0,32,0,"As Expected",1,32.6,4.8,86,13.5
"012592","AL","JEFFERSON","Profit","Yes","DAVITA",80,74,74,84,83,80,"Profit","Yes","DAVITA",1,32,1,0,0,"08/01/1998","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",11,1,0,1,44,1,"As Expected",58,99,1,NA,257,NA,259,85,740,0,NA,0,NA,1,85,791,1,87,815,1,8,17,28,20,26,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"As Expected",1,62,59,259,26.8,38.3,18.1,30.3,45.1,16.6,173.2,298.2,102,0,259,NA,NA,"01/01/2019-12/31/2019",1,"As Expected",0.88,1.95,0.32,28.2,89.4,10.7,1,"As Expected",87,43.2,63.1,21.9,87,813,1,12,0,NA,259,NA,"01/01/2016-12/31/2018","As Expected",1,2.14,0.23,36,0.84,"As Expected",1,43.5,9.7,79,22.3
