"Provider Number","State","County","PoNP","Chain","Org","CnC","Operations","info","Neph","Staff","Facility","Profit or Non-Profit","Chain Owned","Chain Organization","Late Shift","# of Dialysis Stations","Offers in-center hemodialysis","Offers peritoneal dialysis","Offers home hemodialysis training","Certification or Recertification Date","Claims Date","CROWNWeb Date","STrR Date","Percentage of Medicare patients with Hgb<10 g/dL","HGB<10 data availability code","Percentage of Medicare patients with Hgb>12 g/dL","Hgb > 12 data availability code","Number of Dialysis Patients with Hgb data","Patient Transfusion data availability Code","Patient Transfusion category text","Number of patients included in the transfusion summary","Percent of Adult HD patients with Kt/V >= 1.2","Adult HD Kt/V data availability code","Percentage of Adult PD PTS with Kt/V >= 1.7","Adult PD Kt/V data availability code","Percentage of Pediatric HD patients with Kt/V >= 1.2","Pediatric HD Kt/V Data Availability Code","Number of adult HD patients with KT/V data","Number of adult HD patient-months with Kt/V data","Number of adult PD patients with KT/V data","Number of adult PD patient-months with Kt/V data","Number of pediatric HD patients with Kt/V data","Number of pediatric HD patient-months with KT/V data","Hypercalcemia Data Availability Code","Number of patients in hypercalcemia summary","Number of patient-months in hypercalcemia summary","Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL)","Number of patients in Serum phosphorus summary","Number of patient-months in Serum phosphorus summary","Serum phosphorus Data Availability Code","Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL","Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL","Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL","Percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL","Percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL","SHR Date","SRR Date","SMR Date","Patient hospitalization category text","Patient Hospitalization data availability Code","Patient Hospital Readmission Category","Patient Hospital Readmission data availability Code","Patient Survival Category Text","Patient Survival data availability code","Number of patients included in hospitalization summary","Number of hospitalizations included in hospital readmission summary","Number of Patients included in survival summary","Mortality Rate (Facility)","Mortality Rate: Upper Confidence Limit (97.5%)","Mortality Rate: Lower Confidence Limit (2.5%)","Readmission Rate (Facility)","Readmission Rate: Upper Confidence Limit (97.5%)","Readmission Rate: Lower Confidence Limit (2.5%)","Hospitalization Rate (Facility)","Hospitalization Rate: Upper Confidence Limit (97.5%)","Hospitalization Rate: Lower Confidence Limit (2.5%)","Number of pediatric PD patients with Kt/V data","Pediatric PD Kt/V Data Availability Code","Number of pediatric PD patient-months with KT/V data","Percentage of pediatric PD patients with Kt/V>=1.8","SIR Date","Patient Infection Data Availability Code","Patient Infection category text","Standard Infection Ratio","SIR: Upper Confidence Limit (97.5%)","SIR: Lower Confidence Limit (2.5%)","Transfusion Rate (Facility)","Transfusion Rate: Upper Confidence Limit (97.5%)","Transfusion Rate: Lower Confidence Limit (2.5%)","Fistula data availability code","Fistula Category Text","Number of Patients included in fistula summary","Fistula Rate (Facility)","Fistula Rate: Upper Confidence Limit (97.5%)","Fistula Rate: Lower Confidence Limit (2.5%)","Number of patients in long term catheter summary","Number of patient months in long term catheter summary","Long term catheter Data Availability Code","Percentage of Adult patients with long term catheter in use","Number of patients in nPCR summary","Number of patient-months in nPCR summary","nPCR Data Availability Code","Percentage of pediatric HD patients with nPCR","SWR Date","SWR category text","Patient transplant waitlist data availability code","95% C.I. (upper limit) for SWR","95% C.I. (lower limit) for SWR","Number of patients in this facility for SWR","Standardized First Kidney Transplant Waitlist Ratio","PPPW category text","Patient prevalent transplant waitlist data availability code","95% C.I. (upper limit) for PPPW","95% C.I. (lower limit) for PPPW","Number of patients for PPPW","Percentage of Prevalent Patients Waitlisted","FIPStxt","Stabr","Area_name","Rural-urban_Continuum_Code_2003","Urban_Influence_Code_2003","Rural-urban_Continuum_Code_2013","Urban_Influence_Code_2013","POVALL_2018","CI90LBAll_2018","CI90UBALL_2018","PCTPOVALL_2018","CI90LBALLP_2018","CI90UBALLP_2018","POV017_2018","CI90LB017_2018","CI90UB017_2018","PCTPOV017_2018","CI90LB017P_2018","CI90UB017P_2018","POV517_2018","CI90LB517_2018","CI90UB517_2018","PCTPOV517_2018","CI90LB517P_2018","CI90UB517P_2018","MEDHHINC_2018","CI90LBINC_2018","CI90UBINC_2018","POV04_2018","CI90LB04_2018","CI90UB04_2018","PCTPOV04_2018","CI90LB04P_2018","CI90UB04P_2018","FIPS"
"052661","CA","RIVERSIDE","Profit","Yes","DAVITA",77,80,78,84,88,90,"Profit","Yes","DAVITA",1,24,1,0,0,"08/18/1987","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",26,1,0,1,31,1,"As Expected",74,99,1,NA,257,NA,259,140,1194,0,NA,0,NA,1,145,1339,1,154,1404,1,6,22,33,19,20,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"Worse than Expected",1,84,89,404,29.8,37.7,23.1,22.3,35.6,12.5,208.3,327.9,133.8,0,259,NA,NA,"01/01/2019-12/31/2019",1,"Better than Expected",0.34,0.93,0.09,31.9,91.4,13.2,1,"As Expected",153,67.9,81.6,53.2,153,1390,1,9,0,NA,259,NA,"01/01/2016-12/31/2018","As Expected",1,3.23,0.54,53,1.48,"As Expected",1,48.6,16.6,111,30.2,6065,"CA","Riverside County",1,1,1,1,307511,290062,324960,12.7,12,13.4,103757,95012,112502,17.1,15.7,18.5,73063,65995,80131,16.3,14.7,17.9,66793,65743,67843,NA,NA,NA,NA,NA,NA,"06065"
"052663","CA","SACRAMENTO","Profit","Yes","DAVITA",84,82,81,87,84,88,"Profit","Yes","DAVITA",0,31,1,0,0,"06/15/1987","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",12,1,0,1,58,1,"As Expected",99,92,1,NA,257,NA,259,182,1512,0,NA,0,NA,1,185,1619,1,191,1679,1,5,22,42,14,18,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"As Expected",1,109,130,462,27.9,35.1,21.9,20.9,30,13.2,193.7,299.3,133.9,0,259,NA,NA,"01/01/2019-12/31/2019",1,"As Expected",1.27,2.17,0.69,31.1,73.6,15.2,1,"As Expected",190,70.1,82.8,56.6,190,1688,1,10,0,NA,259,NA,"01/01/2016-12/31/2018","As Expected",1,1.6,0.17,70,0.62,"As Expected",1,32.2,9.1,162,17.9,6067,"CA","Sacramento County",1,1,1,1,217138,203030,231246,14.3,13.4,15.2,73661,67040,80282,20.5,18.7,22.3,53652,48866,58438,20.6,18.8,22.4,69475,67976,70974,NA,NA,NA,NA,NA,NA,"06067"
"052629","CA","SANTA CRUZ","Non-Profit","Yes","SATELLITE HEALTHCARE",88,80,88,89,87,87,"Non-Profit","Yes","SATELLITE HEALTHCARE",1,21,1,1,0,"08/29/1985","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",14,1,0,1,78,1,"As Expected",97,97,1,NA,201,NA,259,128,1215,0,NA,0,NA,1,134,1264,1,140,1312,1,4,22,32,27,15,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"As Expected",1,112,74,421,17.1,23,12.4,25.6,42.4,13.7,118.1,209.2,72.7,0,259,NA,NA,"01/01/2019-12/31/2019",1,"Better than Expected",0.32,0.88,0.08,7.7,39.5,2,1,"As Expected",141,71.3,83.8,57.9,141,1330,1,10,0,NA,259,NA,"01/01/2016-12/31/2018","Not Available",199,NA,NA,34,NA,"Better than Expected",1,67.8,36.8,118,52.5,6087,"CA","Santa Cruz County",2,2,2,2,32027,27634,36420,12.2,10.5,13.9,7533,6073,8993,14.5,11.7,17.3,5221,4158,6284,13.7,10.9,16.5,84213,80404,88022,NA,NA,NA,NA,NA,NA,"06087"
"052630","CA","SONOMA","Non-Profit","Yes","SATELLITE HEALTHCARE",80,84,85,85,89,91,"Non-Profit","Yes","SATELLITE HEALTHCARE",1,48,1,0,0,"09/23/1985","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",5,1,0,1,80,1,"As Expected",112,99,1,NA,199,NA,259,168,1452,1,12,0,NA,1,182,1643,1,189,1722,1,4,17,26,32,20,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"As Expected",1,130,150,551,25,30.7,20.1,27.3,39.5,18.2,164.3,251.9,114.3,0,259,NA,NA,"01/01/2019-12/31/2019",1,"Better than Expected",0.31,0.75,0.1,13.6,45.9,4.9,1,"As Expected",187,56.6,70.8,41.5,187,1709,1,11,0,NA,259,NA,"01/01/2016-12/31/2018","Better than Expected",1,4,1.45,87,2.5,"Better than Expected",1,52.8,24.2,163,37.4,6097,"CA","Sonoma County",2,2,2,2,48846,43330,54362,9.9,8.8,11,11309,9363,13255,11.7,9.7,13.7,7542,6117,8967,10.5,8.5,12.5,81002,78925,83079,NA,NA,NA,NA,NA,NA,"06097"
"052558","CA","LOS ANGELES","Profit","Yes","HEMODIALYSIS, INC.",87,86,89,88,91,92,"Profit","Yes","HEMODIALYSIS, INC.",0,52,1,1,0,"12/01/1979","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",8,1,0,1,91,1,"As Expected",111,99,1,NA,201,NA,201,143,1476,0,NA,0,NA,1,147,1600,1,146,1593,1,10,33,43,9,5,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"Better than Expected",1,114,84,547,15.5,20.8,11.2,22.5,35,12.2,118.9,201.4,76,0,201,NA,NA,"01/01/2019-12/31/2019",1,"As Expected",1.01,1.75,0.53,1.1,43.5,0.1,1,"As Expected",147,70.9,84.4,56.4,147,1598,1,9,0,NA,201,NA,"01/01/2016-12/31/2018","As Expected",1,3.81,0.53,33,1.63,"Better than Expected",1,52,21.8,118,35.4,6037,"CA","Los Angeles County",1,1,1,1,1409155,1369373,1448937,14.2,13.8,14.6,429467,411461,447473,19.9,19.1,20.7,304157,290482,317832,19.5,18.6,20.4,67986,67293,68679,NA,NA,NA,NA,NA,NA,"06037"
"052560","CA","CONTRA COSTA","Profit","Yes","DAVITA",83,86,80,84,89,89,"Profit","Yes","DAVITA",1,22,1,0,0,"04/25/1980","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",16,1,0,1,73,1,"As Expected",84,96,1,NA,257,NA,259,136,1242,0,NA,0,NA,1,146,1358,1,150,1401,1,8,20,32,19,20,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"As Expected",1,95,91,381,17,22.9,12.3,27.1,40.2,15.8,156.1,258.3,101.8,0,259,NA,NA,"01/01/2019-12/31/2019",1,"As Expected",1.01,1.85,0.49,13.2,48,4.5,1,"As Expected",149,63.5,77.8,48.2,149,1413,1,10,0,NA,259,NA,"01/01/2016-12/31/2018","As Expected",1,4.17,0.81,45,2.02,"As Expected",1,45.1,15.4,119,27.9,6013,"CA","Contra Costa County",1,1,1,1,88980,81189,96771,7.8,7.1,8.5,23732,20176,27288,9.2,7.8,10.6,15331,12462,18200,8,6.5,9.5,101463,100009,102917,NA,NA,NA,NA,NA,NA,"06013"
"052561","CA","SAN BERNARDINO","Profit","Yes","DAVITA",76,78,83,82,87,87,"Profit","Yes","DAVITA",0,22,1,0,0,"07/30/1980","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",28,1,0,1,46,1,"As Expected",89,97,1,NA,199,NA,259,148,1171,8,12,0,NA,1,162,1400,1,165,1430,1,8,18,30,22,21,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"As Expected",1,102,109,510,21.1,27.3,16,28.4,42.2,17.6,199.7,301.8,133.5,0,259,NA,NA,"01/01/2019-12/31/2019",1,"Worse than Expected",1.77,2.68,1.11,31.9,84.6,14.1,1,"As Expected",158,60.9,75.5,45.2,158,1426,1,8,0,NA,259,NA,"01/01/2016-12/31/2018","As Expected",1,1.03,0,52,0.19,"As Expected",1,34,10,148,19.3,6071,"CA","San Bernardino County",1,1,1,1,317514,296813,338215,14.9,13.9,15.9,120887,110634,131140,21.4,19.6,23.2,83763,75866,91660,20.5,18.6,22.4,63310,61644,64976,NA,NA,NA,NA,NA,NA,"06071"
"052563","CA","SUTTER","Profit","Yes","DAVITA",80,79,86,85,88,91,"Profit","Yes","DAVITA",0,24,1,0,0,"08/04/1980","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",15,1,0,1,97,1,"As Expected",114,99,1,NA,257,NA,259,150,1268,0,NA,0,NA,1,153,1309,2,162,1374,1,7,24,32,17,19,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"Better than Expected",1,"As Expected",1,135,110,531,22.4,28,17.7,16.4,26.1,9.2,134.1,216.9,89.2,0,259,NA,NA,"01/01/2019-12/31/2019",1,"As Expected",0.6,1.26,0.25,10.6,38.5,3.6,1,"As Expected",162,61.6,76,46.2,162,1376,1,15,0,NA,259,NA,"01/01/2016-12/31/2018","As Expected",1,1.8,0.3,69,0.82,"As Expected",1,37.3,10.7,122,21.1,6101,"CA","Sutter County",3,2,3,2,13011,10536,15486,13.5,10.9,16.1,4466,3416,5516,18,13.8,22.2,3270,2453,4087,18,13.5,22.5,57879,54559,61199,NA,NA,NA,NA,NA,NA,"06101"
"052564","CA","LOS ANGELES","Profit","Yes","DAVITA",84,82,80,87,85,86,"Profit","Yes","DAVITA",1,25,1,0,0,"04/06/1977","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",20,1,0,1,66,1,"Worse than Expected",99,96,1,NA,257,NA,259,141,1196,0,NA,0,NA,1,146,1266,1,150,1320,1,11,28,36,16,9,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"As Expected",1,115,131,496,22.8,28.3,18,27.4,40.1,16.6,223.1,343.2,154.8,0,259,NA,NA,"01/01/2019-12/31/2019",1,"As Expected",1.66,2.76,0.92,56.3,108.5,32.6,1,"As Expected",151,61.1,75.7,45.5,151,1324,1,9,0,NA,259,NA,"01/01/2016-12/31/2018","As Expected",1,1.18,0.01,44,0.21,"As Expected",1,45.9,11.3,94,24.8,6037,"CA","Los Angeles County",1,1,1,1,1409155,1369373,1448937,14.2,13.8,14.6,429467,411461,447473,19.9,19.1,20.7,304157,290482,317832,19.5,18.6,20.4,67986,67293,68679,NA,NA,NA,NA,NA,NA,"06037"
"052567","CA","SOLANO","Profit","Yes","DAVITA",87,85,81,83,90,93,"Profit","Yes","DAVITA",0,19,1,0,0,"08/07/1980","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",11,1,1,1,83,1,"As Expected",96,96,1,NA,257,NA,201,139,1211,0,NA,0,NA,1,140,1299,2,146,1330,1,9,29,33,14,15,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"Better than Expected",1,"As Expected",1,113,135,440,17.9,23.5,13.3,18.4,26.9,11.6,162.7,247,114.2,0,259,NA,NA,"01/01/2019-12/31/2019",1,"As Expected",0.69,1.53,0.25,26.5,64.3,12.7,1,"As Expected",150,71.8,85.1,57.6,150,1354,1,10,0,NA,201,NA,"01/01/2016-12/31/2018","As Expected",1,1.7,0.06,44,0.47,"As Expected",1,40.2,11.2,121,22.6,6095,"CA","Solano County",2,2,2,2,34281,29246,39316,7.9,6.7,9.1,9906,7544,12268,10.2,7.8,12.6,6647,4781,8513,9.4,6.8,12,82808,79560,86056,NA,NA,NA,NA,NA,NA,"06095"
"052568","CA","ALAMEDA","Profit","Yes","DAVITA",78,83,76,85,91,91,"Profit","Yes","DAVITA",1,20,1,1,0,"02/10/1981","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",14,1,0,1,58,1,"As Expected",86,99,1,98,1,NA,259,119,1079,15,124,0,NA,1,142,1368,1,147,1404,1,9,30,38,15,8,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"As Expected",1,102,100,426,19.1,24.5,14.6,34.3,49.3,21.7,185.8,303.8,122.4,0,259,NA,NA,"01/01/2019-12/31/2019",1,"As Expected",1.12,2.33,0.45,11,56.1,2.8,1,"As Expected",135,75.4,90,59.9,135,1295,1,5,0,NA,259,NA,"01/01/2016-12/31/2018","Better than Expected",1,6.62,1.45,37,3.36,"Better than Expected",1,64.1,27.5,82,45.1,6001,"CA","Alameda County",1,1,1,1,147394,137363,157425,9,8.4,9.6,33305,28853,37757,9.8,8.5,11.1,22809,19380,26238,9.4,8,10.8,101744,100351,103137,NA,NA,NA,NA,NA,NA,"06001"
"052571","CA","ALAMEDA","Profit","Yes","DAVITA",85,85,87,86,89,90,"Profit","Yes","DAVITA",0,38,1,1,1,"05/20/1981","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",14,1,0,1,73,1,"As Expected",99,95,1,NA,201,NA,259,168,1399,0,NA,0,NA,1,178,1625,2,179,1652,1,6,27,35,18,15,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"As Expected",1,114,105,417,21.7,27.8,16.6,37.1,53,23.2,162.9,259.8,109.6,0,259,NA,NA,"01/01/2019-12/31/2019",1,"As Expected",0.67,1.32,0.29,17.8,53.4,7.1,1,"As Expected",177,68.6,80.7,55.7,177,1670,1,11,0,NA,259,NA,"01/01/2016-12/31/2018","As Expected",1,3.33,0.73,53,1.69,"Better than Expected",1,59.4,28.1,126,43,6001,"CA","Alameda County",1,1,1,1,147394,137363,157425,9,8.4,9.6,33305,28853,37757,9.8,8.5,11.1,22809,19380,26238,9.4,8,10.8,101744,100351,103137,NA,NA,NA,NA,NA,NA,"06001"
"052621","CA","ORANGE","Profit","Yes","DAVITA",82,82,89,87,88,86,"Profit","Yes","DAVITA",0,21,1,0,0,"05/15/1985","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",12,1,0,1,34,1,"As Expected",51,97,1,NA,257,NA,259,91,811,0,NA,0,NA,1,95,865,3,99,891,1,7,24,35,22,12,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"Better than Expected",1,59,47,261,14.5,20.1,10.2,21,39,8.9,142.3,250.8,85,0,259,NA,NA,"01/01/2019-12/31/2019",1,"Better than Expected",0.25,0.83,0.04,35.2,111.7,13.4,1,"As Expected",102,67.8,84.3,50.2,102,897,1,22,0,NA,259,NA,"01/01/2016-12/31/2018","Not Available",199,NA,NA,23,NA,"As Expected",1,58.1,11.2,54,29.5,6059,"CA","Orange County",1,1,1,1,330559,311256,349862,10.5,9.9,11.1,91498,83402,99594,13.3,12.1,14.5,65187,59020,71354,13,11.8,14.2,89373,87793,90953,NA,NA,NA,NA,NA,NA,"06059"
"052622","CA","LOS ANGELES","Profit","Yes","DAVITA",78,76,78,82,82,84,"Profit","Yes","DAVITA",1,30,1,1,0,"04/11/1985","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",18,1,0,1,92,1,"As Expected",137,98,1,96,1,NA,259,183,1666,54,453,0,NA,1,235,2292,1,245,2376,1,8,25,30,19,18,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"As Expected",1,145,189,586,22.1,28,17.2,33.9,44.3,24.6,213,306.9,156.3,0,259,NA,NA,"01/01/2019-12/31/2019",1,"As Expected",0.58,1.11,0.27,25.9,56.3,13.5,1,"As Expected",192,72.6,83,61.4,192,1882,1,14,0,NA,259,NA,"01/01/2016-12/31/2018","Worse than Expected",1,0.83,0.06,90,0.28,"As Expected",1,33.1,12.7,198,21.1,6037,"CA","Los Angeles County",1,1,1,1,1409155,1369373,1448937,14.2,13.8,14.6,429467,411461,447473,19.9,19.1,20.7,304157,290482,317832,19.5,18.6,20.4,67986,67293,68679,NA,NA,NA,NA,NA,NA,"06037"
"052624","CA","SONOMA","Profit","Yes","FRESENIUS MEDICAL CARE",83,81,83,87,87,89,"Profit","Yes","FRESENIUS MEDICAL CARE",1,17,1,1,0,"08/14/1985","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",8,1,0,1,40,1,"As Expected",71,99,1,95,1,NA,259,88,772,21,166,0,NA,1,115,1080,2,126,1154,1,7,28,31,26,8,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"As Expected",1,83,94,309,19.3,25.5,14.4,16.7,27.8,8.4,168.9,267.9,107.8,0,259,NA,NA,"01/01/2019-12/31/2019",1,"Better than Expected",0.2,1,0.01,23.7,80,8.6,1,"As Expected",103,72.5,88.8,55.1,103,950,1,4,0,NA,259,NA,"01/01/2016-12/31/2018","Not Available",199,NA,NA,32,NA,"Better than Expected",1,62.4,24.1,76,42.1,6097,"CA","Sonoma County",2,2,2,2,48846,43330,54362,9.9,8.8,11,11309,9363,13255,11.7,9.7,13.7,7542,6117,8967,10.5,8.5,12.5,81002,78925,83079,NA,NA,NA,NA,NA,NA,"06097"
"052627","CA","ORANGE","Profit","Yes","DAVITA",81,91,87,88,96,96,"Profit","Yes","DAVITA",1,12,1,1,0,"07/11/1985","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",18,1,0,1,34,1,"As Expected",66,99,1,NA,199,NA,259,91,695,8,55,0,NA,1,103,930,2,100,917,1,6,20,38,20,16,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"As Expected",1,70,70,258,25.4,34.6,18.1,25.1,39.8,13,221.2,357.3,138.6,0,259,NA,NA,"01/01/2019-12/31/2019",1,"Better than Expected",0,0.56,NA,28.2,89.5,10.8,1,"As Expected",98,70.5,86.8,53.2,98,897,1,8,0,NA,259,NA,"01/01/2016-12/31/2018","Not Available",199,NA,NA,15,NA,"As Expected",1,52.2,14.5,71,30.1,6059,"CA","Orange County",1,1,1,1,330559,311256,349862,10.5,9.9,11.1,91498,83402,99594,13.3,12.1,14.5,65187,59020,71354,13,11.8,14.2,89373,87793,90953,NA,NA,NA,NA,NA,NA,"06059"
"052628","CA","KINGS","Profit","Yes","DAVITA",85,81,79,90,92,92,"Profit","Yes","DAVITA",0,20,1,0,0,"08/05/1985","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",17,1,0,1,41,1,"As Expected",65,97,1,NA,257,NA,199,92,723,0,NA,1,3,1,101,871,1,111,918,1,5,26,31,18,19,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"As Expected",1,71,67,270,28.1,37.3,20.6,26,42.8,14.2,158.9,274.8,93.2,0,259,NA,NA,"01/01/2019-12/31/2019",1,"As Expected",0.95,1.97,0.38,21.5,77.9,7.3,1,"As Expected",110,75.3,88.1,61.6,110,928,1,11,1,3,199,NA,"01/01/2016-12/31/2018","As Expected",1,3.57,0.38,31,1.39,"As Expected",1,47.2,12,98,25.9,6031,"CA","Kings County",3,2,3,2,25481,21602,29360,18.8,15.9,21.7,9426,7792,11060,23.2,19.2,27.2,6565,5320,7810,22.4,18.1,26.7,58255,54910,61600,NA,NA,NA,NA,NA,NA,"06031"
"052635","CA","KERN","Profit","Yes","DAVITA",79,82,82,83,90,93,"Profit","Yes","DAVITA",1,20,1,0,0,"11/06/1985","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",25,1,0,1,48,1,"As Expected",84,99,1,NA,257,NA,259,126,1053,0,NA,0,NA,1,132,1168,4,134,1154,1,8,20,32,23,17,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"Worse than Expected",1,94,101,412,36.5,45.4,29,23.9,36.3,14,246.2,371.3,164.9,0,259,NA,NA,"01/01/2019-12/31/2019",1,"Better than Expected",0.24,0.78,0.04,27.3,82.1,10.9,1,"As Expected",135,65.7,80.8,49.5,135,1180,1,9,0,NA,259,NA,"01/01/2016-12/31/2018","As Expected",1,1.07,0,45,0.19,"As Expected",1,29.1,4.8,113,12.5,6029,"CA","Kern County",2,2,2,2,177021,166198,187844,20.5,19.2,21.8,70272,64320,76224,27.4,25.1,29.7,49411,44568,54254,26.5,23.9,29.1,51586,49718,53454,NA,NA,NA,NA,NA,NA,"06029"
"052637","CA","LOS ANGELES","Profit","Yes","DAVITA",84,80,86,84,86,85,"Profit","Yes","DAVITA",0,24,1,0,0,"01/27/1986","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",8,1,0,1,52,1,"As Expected",78,96,1,NA,257,NA,259,118,931,0,NA,0,NA,1,133,1175,1,134,1210,1,9,25,32,18,15,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"As Expected",1,94,105,416,21.3,27.5,16.1,29.7,42.2,18.3,222.6,332.3,150.6,0,259,NA,NA,"01/01/2019-12/31/2019",1,"Better than Expected",0.16,0.54,0.03,9.3,57.5,2,1,"As Expected",135,71.2,83.7,57.8,135,1216,1,19,0,NA,259,NA,"01/01/2016-12/31/2018","As Expected",1,1.41,0.05,43,0.39,"As Expected",1,29.1,4.8,118,12.5,6037,"CA","Los Angeles County",1,1,1,1,1409155,1369373,1448937,14.2,13.8,14.6,429467,411461,447473,19.9,19.1,20.7,304157,290482,317832,19.5,18.6,20.4,67986,67293,68679,NA,NA,NA,NA,NA,NA,"06037"
"052638","CA","VENTURA","Profit","Yes","DAVITA",90,86,78,92,92,90,"Profit","Yes","DAVITA",0,24,1,1,1,"11/26/1985","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",22,1,0,1,41,1,"As Expected",68,100,1,87,1,NA,259,92,746,13,92,0,NA,1,105,946,2,109,986,1,11,26,38,18,8,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"As Expected",1,78,118,333,25.5,33.5,19.1,27.2,39.7,16.4,253.6,379.9,171,0,259,NA,NA,"01/01/2019-12/31/2019",1,"As Expected",1.42,2.81,0.62,22.8,82.9,7.8,1,"As Expected",100,65.5,83.3,46.4,100,901,1,7,0,NA,259,NA,"01/01/2016-12/31/2018","As Expected",1,4.37,0.31,34,1.49,"As Expected",1,45.4,10.3,82,23.6,6111,"CA","Ventura County",2,2,2,2,76206,68312,84100,9.1,8.2,10,23617,20176,27058,12.4,10.6,14.2,17458,14687,20229,12.3,10.3,14.3,84170,82014,86326,NA,NA,NA,NA,NA,NA,"06111"
